company_name,ticker_symbol,market_cap,url
"Synopsys, Inc. Common Stock",SNPS,"81,506,280,045",https://www.nasdaq.com/market-activity/stocks/snps
Boston Scientific Corporation Common Stock,BSX,"80,500,803,596",https://www.nasdaq.com/market-activity/stocks/bsx
Blackstone Inc. Common Stock,BX,"79,986,013,164",https://www.nasdaq.com/market-activity/stocks/bx
Diageo plc Common Stock,DEO,"79,842,839,196",https://www.nasdaq.com/market-activity/stocks/deo
"MercadoLibre, Inc. Common Stock",MELI,"79,781,938,195",https://www.nasdaq.com/market-activity/stocks/meli
"Fiserv, Inc. Common Stock",FI,"79,440,581,370",https://www.nasdaq.com/market-activity/stocks/fi
Southern Company (The) Common Stock,SO,"77,979,283,454",https://www.nasdaq.com/market-activity/stocks/so
Canadian National Railway Company Common Stock,CNI,"76,286,106,000",https://www.nasdaq.com/market-activity/stocks/cni
CME Group Inc. Class A Common Stock,CME,"76,181,713,581",https://www.nasdaq.com/market-activity/stocks/cme
The Cigna Group Common Stock,CI,"75,730,047,201",https://www.nasdaq.com/market-activity/stocks/ci
"Equinix, Inc. Common Stock REIT",EQIX,"75,272,912,860",https://www.nasdaq.com/market-activity/stocks/eqix
Infosys Limited American Depositary Shares,INFY,"75,258,554,287",https://www.nasdaq.com/market-activity/stocks/infy
Illinois Tool Works Inc. Common Stock,ITW,"75,104,124,507",https://www.nasdaq.com/market-activity/stocks/itw
Enbridge Inc Common Stock,ENB,"74,239,920,000",https://www.nasdaq.com/market-activity/stocks/enb
Sherwin-Williams Company (The) Common Stock,SHW,"74,184,092,204",https://www.nasdaq.com/market-activity/stocks/shw
RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),RELX,"73,593,891,691",https://www.nasdaq.com/market-activity/stocks/relx
GSK plc American Depositary Shares (Each representing two Ordinary Shares),GSK,"73,587,617,256",https://www.nasdaq.com/market-activity/stocks/gsk
"Altria Group, Inc.",MO,"73,045,107,636",https://www.nasdaq.com/market-activity/stocks/mo
Duke Energy Corporation (Holding Company) Common Stock,DUK,"72,747,480,006",https://www.nasdaq.com/market-activity/stocks/duk
KLA Corporation Common Stock,KLAC,"72,646,307,640",https://www.nasdaq.com/market-activity/stocks/klac
"Workday, Inc. Class A Common Stock",WDAY,"71,906,830,000",https://www.nasdaq.com/market-activity/stocks/wday
Northrop Grumman Corporation Common Stock,NOC,"71,814,978,131",https://www.nasdaq.com/market-activity/stocks/noc
Ferrari N.V. Common Shares,RACE,"71,121,443,625",https://www.nasdaq.com/market-activity/stocks/race
Stellantis N.V. Common Shares,STLA,"70,797,181,603",https://www.nasdaq.com/market-activity/stocks/stla
"Cadence Design Systems, Inc. Common Stock",CDNS,"70,717,075,660",https://www.nasdaq.com/market-activity/stocks/cdns
VALE S.A. American Depositary Shares Each Representing one common share,VALE,"70,154,094,381",https://www.nasdaq.com/market-activity/stocks/vale
"Arista Networks, Inc. Common Stock",ANET,"69,695,764,812",https://www.nasdaq.com/market-activity/stocks/anet
